genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title,Title.1
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,15135,13,12,0.11490517,0.107850015,0.08936228,0.163240135,2.950269461,17,4781.511475,2705.189124,83,0,0,83,40.50515625,26.4615625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,36521,1,2,0.1601151,0.12794612,0.09818442,0.163240135,2.950269461,20,3454.027087,2583.978418,198,0,0,198,493.6932813,18.42375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,19621,11,2,0.21812703,0.19206902,0.109435864,0.163240135,2.950269461,11,4255.68894,3444.43844,180,0,0,180,387.6664063,29.803125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,8536,1,2,0.12954283,0.11134816,0.0993509,0.163240135,2.950269461,22,1971.879846,3454.745935,216,0,0,216,342.5553125,31.0675,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,31992,12,1,0.16659983,0.14931937,0.11548009,0.163240135,2.950269461,12,3341.393787,2414.303186,261,2,0,263,800.16875,9.6634375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14669,9,19,0.28844517,0.20224729,0.18364002,0.163240135,2.950269461,17,4794.148169,2765.361902,106,0,1,107,84.57765625,46.24,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,28179,8,1,0.14816853,0.11450991,0.082358055,0.163240135,2.950269461,18,3818.239844,1191.324597,67,0,0,67,49.671875,23.3909375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5633,13,8,0.16389821,0.16055153,0.14080337,0.163240135,2.950269461,17,2400.66853,3033.319006,121,0,0,121,89.81578125,51.70390625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,22609,13,1,0.1279257,0.12064731,0.10390992,0.163240135,2.950269461,10,1285.195331,1948.905151,41,0,0,41,40.50515625,13.546875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16660,9,1,0.13617201,0.12336651,0.09061909,0.163240135,2.950269461,7,4216.471484,2802.00072,229,1,0,232,109.9103125,51.9296875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
