genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,31124,1,2,0.10829676,0.09346386,0.076659,0.152549341320992,2.93007040023804,14,2042.32608642578,685.865383911133,2,0,0,2,225.05875,9.1215625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,1668,1,3,0.091474704,0.084178284,0.078231156,0.152549341320992,2.93007040023804,15,408.136755371094,3507.19296875,183,0,0,183,585.3153125,19.64296875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,31129,3,1,0.09816756,0.09337112,0.09201501,0.152549341320992,2.93007040023804,1,2054.56849365234,773.547470092773,0,0,0,0,578.58703125,7.36046875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,19782,1,3,0.0840552,0.08166926,0.07489535,0.152549341320992,2.93007040023804,15,1512.66693115234,1310.37720336914,173,0,0,173,532.25671875,11.51484375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,34368,3,1,0.09689362,0.09424275,0.09034092,0.152549341320992,2.93007040023804,5,2076.23706054688,993.331146240234,87,0,0,87,318.803125,4.47046875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,1,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10251,1,3,0.09189315,0.08738567,0.0858768,0.152549341320992,2.93007040023804,15,636.181005859375,3304.00270996094,164,0,0,164,363.236875,8.9409375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10466,3,1,0.100157306,0.089020126,0.0885235,0.152549341320992,2.93007040023804,5,723.848150634766,2840.51364746094,194,0,0,194,470.70875,8.850625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,1,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,26502,1,3,0.10251411,0.085508205,0.083742246,0.152549341320992,2.93007040023804,5,5354.08193359375,2496.05280761719,124,0,0,124,666.28046875,5.41875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,1,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,33324,9,3,0.1037963,0.100434,0.09219339,0.152549341320992,2.93007040023804,3,2470.52209472656,1267.22932739258,110,0,0,110,574.1165625,4.69625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10725,9,3,0.10279919,0.10242603,0.09547436,0.152549341320992,2.93007040023804,15,531.434899902344,3163.18389892578,141,0,0,142,364.36578125,5.73484375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,30099,9,1,0.11035742,0.093661435,0.08562811,0.152549341320992,2.93007040023804,20,5191.74230957031,2641.08364257813,168,0,0,168,517.0390625,5.10265625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,21631,13,12,0.13043132,0.123999916,0.07451975,0.152549341320992,2.93007040023804,17,2522.46921386719,2667.31286621094,117,0,0,117,163.5559375,57.619375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,23408,2,13,0.17268491,0.10003441,0.07203327,0.152549341320992,2.93007040023804,3,857.382870483398,1839.37883300781,220,0,0,220,185.863125,46.24,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,733,8,1,0.11143642,0.09242247,0.075826995,0.152549341320992,2.93007040023804,9,4686.229296875,843.297326660156,83,0,0,83,68.95359375,40.68578125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15214,13,12,0.17810775,0.17743514,0.0669781,0.152549341320992,2.93007040023804,19,4850.05808105469,2690.24398193359,105,0,0,105,160.4853125,51.34265625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,35613,4,2,0.09588171,0.08581636,0.075007506,0.152549341320992,2.93007040023804,7,3705.22221679687,2728.76002197266,301,0,0,301,321.10609375,44.38859375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5725,13,4,0.22890659,0.10798179,0.059538946,0.152549341320992,2.93007040023804,17,2353.36694335938,3279.06446533203,144,0,0,145,150.9121875,52.4715625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1384,2,9,0.1753065,0.09909045,0.09711689,0.152549341320992,2.93007040023804,5,3296.12111816406,809.288922119141,45,0,0,45,78.6621875,17.11421875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,949,13,4,0.14243318,0.083969705,0.07213615,0.152549341320992,2.93007040023804,5,1908.92962646484,3509.67573242188,108,0,0,108,162.42703125,50.3040625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1872,13,8,0.14196725,0.105968215,0.082408994,0.152549341320992,2.93007040023804,17,4966.82973632812,3247.07200927734,136,0,0,136,116.503125,41.8146875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Raw Data
