genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,34969,12,15,0.13299586,0.07914351,0.07759764,0.167763159,2.896154404,14,4081.433545,2673.48512,162,0,0,162,422.5721875,4.9671875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,35052,3,1,0.11420687,0.09395775,0.093877874,0.167763159,2.896154404,20,3942.114893,3020.450928,141,0,0,141,405.864375,6.9540625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,21721,9,28,0.2249829,0.16293749,0.12005359,0.167763159,2.896154404,1,4981.158545,760.0271576,164,0,0,164,732.8859375,6.00578125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,24548,3,1,0.103931054,0.094609536,0.09431962,0.167763159,2.896154404,26,4977.741113,906.4419922,338,0,0,338,539.5720313,7.81203125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,33036,9,15,0.17065097,0.12465057,0.09214089,0.167763159,2.896154404,8,2430.529761,1613.800433,333,0,0,333,449.7110938,5.28328125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,35616,7,2,0.107984185,0.10565238,0.08430998,0.167763159,2.896154404,7,3663.575122,2726.838391,254,0,0,254,389.3371875,28.04203125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10725,1,9,0.14091289,0.093070395,0.0912087,0.167763159,2.896154404,15,531.4348999,3163.183899,141,0,0,142,364.3657813,5.73484375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,19806,3,5,0.10698847,0.10373231,0.09571983,0.167763159,2.896154404,3,1396.262274,1647.05741,249,0,0,249,223.5685938,7.044375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,2844,12,2,0.14585795,0.10247135,0.086961396,0.167763159,2.896154404,5,5437.733472,1427.856189,47,0,0,47,674.2279688,8.44421875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,1,Transformer Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10482,9,15,0.14356565,0.09152624,0.08763964,0.167763159,2.896154404,19,517.4509888,2815.103503,168,0,0,168,423.5204688,5.238125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,Transformer Model : Stratified Sampling - Clean Data
